2025-07-13 17:55:17,847 - ig-04                     - <module>             -    85 - WARNING    - This code is designed to run in a Jupyter notebook or similar environment.
2025-07-13 17:55:17,848 - ig-04                     - <module>             -    86 - ERROR      - If you encounter any issues, please check the environment setup.
2025-07-13 17:59:56,099 - ig-04                     - <module>             -    85 - WARNING    - Step  1: This code is designed to run in a Jupyter notebook or similar environment.
2025-07-13 17:59:56,099 - ig-04                     - <module>             -    86 - ERROR      - Step  1: If you encounter any issues, please check the environment setup.
2025-07-13 18:03:35,468 - ig-04      - <module>   -    85 - WARNING    - Step  1: This code is designed to run in a Jupyter notebook or similar environment.
2025-07-13 18:03:35,468 - ig-04      - <module>   -    86 - ERROR      - Step  1: If you encounter any issues, please check the environment setup.
2025-07-13 18:04:31,879 - ig-04      - <module>        -    85 - WARNING    - Step  1: This code is designed to run in a Jupyter notebook or similar environment.
2025-07-13 18:04:31,879 - ig-04      - <module>        -    86 - ERROR      - Step  1: If you encounter any issues, please check the environment setup.
2025-07-13 18:21:00,283 - ig-04      - <module>        -    85 - WARNING    - Step  1: This code is designed to run in a Jupyter notebook or similar environment.
2025-07-13 18:21:00,283 - ig-04      - <module>        -    86 - ERROR      - Step  1: If you encounter any issues, please check the environment setup.
2025-07-13 18:22:05,396 - ig-04      - <module>        -    85 - WARNING    - Step  1: This code is designed to run in a Jupyter notebook or similar environment.
2025-07-13 18:22:05,396 - ig-04      - <module>        -    86 - ERROR      - Step  1: If you encounter any issues, please check the environment setup.
2025-07-13 18:23:23,881 | ig-04      | <module>        |    85 | WARNING    | Step  1: This code is designed to run in a Jupyter notebook or similar environment.
2025-07-13 18:23:23,881 | ig-04      | <module>        |    86 | ERROR      | Step  1: If you encounter any issues, please check the environment setup.
